Directories,Filename,Corrupt,Size,Multipart,Outof,MultipartFilename,Types,FileDay,FileMonth,FileYear,FileFullDate,Currency
albaraka2006,02-february2006ctd_part107.pdf,no,763694,107,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part108.pdf,no,698588,108,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part109.pdf,no,229000,109,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part110.pdf,no,56448,110,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part111.pdf,no,348593,111,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part112.pdf,no,668900,112,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part113.pdf,no,272734,113,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part114.pdf,no,262589,114,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part115.pdf,no,147725,115,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part116.pdf,no,72701,116,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part117.pdf,no,264285,117,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part118.pdf,no,53049,118,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part119.pdf,no,333748,119,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part120.pdf,no,67835,120,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part121.pdf,no,129513,121,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part122.pdf,no,47595,122,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part123.pdf,no,149302,123,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part124.pdf,no,62300,124,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part125.pdf,no,724479,125,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part126.pdf,no,695339,126,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part127.pdf,no,293342,127,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part128.pdf,no,224150,128,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part129.pdf,no,46953,129,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part130.pdf,no,583223,130,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part131.pdf,no,290828,131,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part132.pdf,no,61533,132,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part133.pdf,no,153791,133,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part134.pdf,no,61117,134,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part135.pdf,no,155642,135,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part136.pdf,no,60924,136,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part137.pdf,no,364193,137,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part138.pdf,no,40196,138,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
